date,ticker,open,high,low,close,label,sessions_num
2020-01-02,GMD,23300.0,23400.0,23150.0,23200.0,0,0
2020-01-03,GMD,23200.0,23300.0,22700.0,22750.0,0,0
2020-01-06,GMD,22700.0,22800.0,22200.0,22250.0,0,0
2020-01-07,GMD,22250.0,22350.0,21700.0,21750.0,0,0
2020-01-08,GMD,21700.0,21700.0,21000.0,21000.0,0,0
2020-01-09,GMD,21300.0,21750.0,21300.0,21700.0,0,0
2020-01-10,GMD,21750.0,22000.0,20750.0,22000.0,0,0
2020-01-13,GMD,21900.0,21900.0,21400.0,21500.0,0,0
2020-01-14,GMD,21750.0,21750.0,21200.0,21500.0,0,0
2020-01-15,GMD,21300.0,21500.0,21100.0,21350.0,0,0
2020-01-16,GMD,21400.0,21400.0,21000.0,21200.0,0,0
2020-01-17,GMD,21200.0,21400.0,21000.0,21400.0,0,0
2020-01-20,GMD,21300.0,21400.0,21150.0,21300.0,0,0
2020-01-21,GMD,21300.0,21550.0,21150.0,21400.0,0,0
2020-01-22,GMD,21400.0,21550.0,21350.0,21550.0,0,0
2020-01-30,GMD,21400.0,21400.0,20050.0,20500.0,0,0
2020-01-31,GMD,20100.0,20500.0,19100.0,19100.0,0,0
2020-02-03,GMD,18700.0,18950.0,17800.0,18950.0,0,0
2020-02-04,GMD,18800.0,18950.0,18150.0,18800.0,0,0
2020-02-05,GMD,18800.0,19100.0,18500.0,18900.0,0,0
2020-02-06,GMD,19000.0,19600.0,18700.0,19500.0,0,0
2020-02-07,GMD,19600.0,19600.0,19200.0,19450.0,0,0
2020-02-10,GMD,19150.0,19450.0,18800.0,19300.0,0,0
2020-02-11,GMD,19350.0,19350.0,19000.0,19100.0,0,0
2020-02-12,GMD,19000.0,19200.0,18950.0,19150.0,0,0
2020-02-13,GMD,19150.0,19600.0,19150.0,19500.0,0,0
2020-02-14,GMD,19500.0,20000.0,19300.0,19900.0,0,0
2020-02-17,GMD,20000.0,20450.0,19900.0,20450.0,0,0
2020-02-18,GMD,20450.0,20450.0,19850.0,20000.0,0,0
2020-02-19,GMD,19700.0,20000.0,19700.0,20000.0,0,0
2020-02-20,GMD,19800.0,20350.0,19800.0,20000.0,0,0
2020-02-21,GMD,20200.0,20250.0,19850.0,19850.0,0,0
2020-02-24,GMD,19600.0,19700.0,18500.0,18900.0,0,0
2020-02-25,GMD,18300.0,19150.0,18300.0,19150.0,0,0
2020-02-26,GMD,18900.0,18900.0,18350.0,18900.0,0,0
2020-02-27,GMD,18900.0,19150.0,18600.0,19150.0,0,0
2020-02-28,GMD,18550.0,19000.0,18500.0,18950.0,0,0
2020-03-02,GMD,18550.0,19300.0,18550.0,19000.0,0,0
2020-03-03,GMD,19400.0,19400.0,19000.0,19150.0,0,0
2020-03-04,GMD,19100.0,19300.0,19000.0,19150.0,0,0
2020-03-05,GMD,19200.0,19400.0,19100.0,19200.0,0,0
2020-03-06,GMD,19100.0,19200.0,19000.0,19050.0,0,0
2020-03-09,GMD,18000.0,18600.0,17750.0,17850.0,0,0
2020-03-10,GMD,17300.0,18050.0,17200.0,18000.0,0,0
2020-03-11,GMD,18000.0,18200.0,16750.0,17700.0,0,0
2020-03-12,GMD,17050.0,17400.0,16500.0,16500.0,0,0
2020-03-13,GMD,15350.0,15800.0,15350.0,15800.0,0,0
2020-03-16,GMD,15650.0,16050.0,15500.0,15800.0,0,0
2020-03-17,GMD,15600.0,16400.0,15400.0,16400.0,0,0
2020-03-18,GMD,16700.0,17200.0,16600.0,16950.0,0,0
2020-03-19,GMD,16800.0,17100.0,16400.0,16900.0,0,0
2020-03-20,GMD,16900.0,16900.0,16050.0,16450.0,0,0
2020-03-23,GMD,15600.0,16000.0,15300.0,15300.0,0,0
2020-03-24,GMD,15700.0,15700.0,15000.0,15700.0,0,0
2020-03-25,GMD,15950.0,16300.0,15750.0,16300.0,0,0
2020-03-26,GMD,16000.0,16200.0,15800.0,15900.0,0,0
2020-03-27,GMD,16000.0,16000.0,15600.0,15900.0,0,0
2020-03-30,GMD,15250.0,15250.0,14800.0,15100.0,0,0
2020-03-31,GMD,15000.0,15500.0,14100.0,14950.0,0,0
