fieldCode,mapEN,mapVN,descriptionEN,descriptionVN,multiplier,unit
__id__,,,,,,
__hashID__,,,,,,
__createdAt__,,,,,,
__updatedAt__,,,,,,
date,,,DATE,NGÀY,,
paramDate,,,,param trong request lên FiinX,,
id,,,,,,
ticker,,,TICKER,MÃ,,
name,,,,tên doanh nghiệp,,
exchangeCode,,,,sàn,,
dataType,,,,loại dữ liệu đc request,,
AveragePrice,Average Price (D),,,Giá trung bình (D),,VND
Beta2Y,Beta (2 years),,,Beta (2 năm),,Times
Beta6M,Beta (6 months),,,Beta (6 tháng),,Times
CeilingPrice,Ceiling (D),,,Giá trần (D),,VND
close,Close Price (D),,,Giá đóng cửa (D),,VND
FloorPrice,Floor (D),,,Giá sàn (D),,VND
ForeignBuyValueDeal,Foreign Buy Deal Value (D),,,Giá trị NĐTNN mua thỏa thuận (D),,VND
ForeignBuyValueMatched,Foreign Buy Matched Value (D),,,Giá trị NĐTNN mua khớp lệnh (D),,VND
ForeignBuyValueTotal,Total Foreign Buy Value (D),,,Giá trị NĐTNN mua (D),,VND
ForeignBuyVolumeDeal,Foreign Buy Deal Volume (D),,,Khối lượng NĐTNN mua thỏa thuận (D),,Shares
ForeignBuyVolumeMatched,Foreign Buy Matched Volume (D),,,Khối lượng NĐTNN mua khớp lệnh (D),,Shares
ForeignBuyVolumeTotal,Total Foreign Buy Volume (D),,,Khối lượng  NĐTNN mua (D),,Shares
ForeignIndividualBuyDealValue,Foreign Individual Buy Deal Value (D),,,Tổng GTGD cá nhân nước ngoài mua thỏa thuận (D),,VND
ForeignIndividualBuyDealVolume,Foreign Individual Buy Deal Volume (D),,,Tổng KLGD cá nhân nước ngoài mua thỏa thuận (D),,Shares
ForeignIndividualBuyMatchValue,Foreign Individual Buy Match Value (D),,,Tổng GTGD cá nhân nước ngoài mua khớp lệnh (D),,VND
ForeignIndividualBuyMatchVolume,Foreign Individual Buy Match Volume (D),,,Tổng KLGD cá nhân nước ngoài mua khớp lệnh (D),,Shares
ForeignIndividualBuyValue,Foreign Individual Buy Value (D),,,GTGD cá nhân nước ngoài mua (D),,VND
ForeignIndividualBuyVolume,Foreign Individual Buy Volume (D),,,KLGD cá nhân nước ngoài mua (D),,Shares
ForeignIndividualSellDealValue,Foreign Individual Sell Deal Value (D),,,Tổng GTGD cá nhân nước ngoài bán thỏa thuận (D),,VND
ForeignIndividualSellDealVolume,Foreign Individual Sell Deal Volume (D),,,Tổng KLGD cá nhân nước ngoài bán thỏa thuận (D),,Shares
ForeignIndividualSellMatchValue,Foreign Individual Sell Match Value (D),,,Tổng GTGD cá nhân nước ngoài bán khớp lệnh (D),,VND
ForeignIndividualSellMatchVolume,Foreign Individual Sell Match Volume (D),,,Tổng KLGD cá nhân nước ngoài bán khớp lệnh (D),,Shares
ForeignIndividualSellValue,Foreign Individual Sell Value (D),,,GTGD cá nhân nước ngoài bán (D),,VND
ForeignIndividualSellVolume,Foreign Individual Sell Volume (D),,,KLGD cá nhân nước ngoài bán (D),,Shares
ForeignIndividualValue,Foreign Individual Value (D),,,GTGD cá nhân nước ngoài (D),,VND
ForeignIndividualVolume,Foreign Individual Volume (D),,,KLGD cá nhân nước ngoài (D),,Shares
ForeignInstitutionalBuyDealValue,Foreign Institutional Buy Deal Value (D),,,Tổng GTGD tổ chức nước ngoài mua thỏa thuận (D),,VND
ForeignInstitutionalBuyDealVolume,Foreign Institutional Buy Deal Volume (D),,,Tổng KLGD tổ chức nước ngoài mua thỏa thuận (D),,Shares
ForeignInstitutionalBuyMatchValue,Foreign Institutional Buy Match Value (D),,,Tổng GTGD tổ chức nước ngoài mua khớp lệnh (D),,VND
ForeignInstitutionalBuyMatchVolume,Foreign Institutional Buy Match Volume (D),,,Tổng KLGD tổ chức nước ngoài mua khớp lệnh (D),,Shares
ForeignInstitutionalBuyValue,Foreign Institutional Buy Value (D),,,GTGD tổ chức nước ngoài mua (D),,VND
ForeignInstitutionalBuyVolume,Foreign Institutional Buy Volume (D),,,KLGD tổ chức nước ngoài mua (D),,Shares
ForeignInstitutionalSellDealValue,Foreign Institutional Sell Deal Value (D),,,Tổng GTGD tổ chức nước ngoài bán thỏa thuận (D),,VND
ForeignInstitutionalSellDealVolume,Foreign Institutional Sell Deal Volume (D),,,Tổng KLGD tổ chức nước ngoài bán thỏa thuận (D),,Shares
